question_id,question,conversation_history,selected_views_pred,selected_views_actual,reasoning,match,Business_views,expected_views
17,Report the RVPI for the 'BU-Direct' business unit (latest).,[],['BUSINESS_UNIT_KPI_VW'],BUSINESS_UNIT_KPI_VW,"The user is asking for the RVPI (Residual Value to Paid-In Capital) for the 'BU-Direct' business unit, specifically requesting the latest value. The key requirements are:
- Metric: RVPI
- Level: Business unit ('BU-Direct')
- Time: Latest (most recent data)

First, I need to identify which view(s) provide RVPI at the business unit aggregation level. Scanning the candidate views:
- ""Business Unit KPI View"" (BUSINESS_UNIT_KPI_VW) is specifically for ""aggregated metrics across multiple investments for an individual business unit level only"" and contains the RVPI field.
- ""Business Unit Sector View"", ""Business Unit Investment Class View"", ""Business Unit Asset Class View"", ""Business Unit Region View"", and ""Business Unit Country View"" all provide RVPI but only when a sector, investment class, asset class, region, or country breakdown is also requested. The question does not request any such breakdown.
- ""Investment KPI View"" is for individual investments, not for business unit aggregation.
- ""Platform KPI View"", ""MIC KPI View"", and others are for platform or company-wide aggregation, not business unit.
- ""Active Deal List"" and ""Consumption View"" do not provide RVPI or business unit aggregation.

Therefore, the ""Business Unit KPI View"" is the correct and only view that directly provides the latest RVPI for a business unit. I also need to check if 'BU-Direct' is a valid value for BUSINESS_UNIT in this view. The allowed values for BUSINESS_UNIT in ""Business Unit KPI View"" do not include 'BU-Direct' exactly, but there are similar names like ""Direct Budget Adjustment - Return (BU)"" and ""DI Budget Adjustment - Return (BU)"". If 'BU-Direct' is a user shorthand, the closest match is likely ""Direct Budget Adjustment - Return (BU)"". However, since the user asked for 'BU-Direct', and the view supports business unit-level queries, this is the best fit.",1,BUSINESS_UNIT_KPI_VW,BUSINESS_UNIT_KPI_VW
18,"In the 'FinTech' platform, what is the DVPI for 'Direct Investment' investment class (latest)?",[],['<NO_VIEWS>'],<NO_VIEWS>,"The question asks for the DVPI (Distributed to Paid-In Capital) for the 'Direct Investment' investment class within the 'FinTech' platform, specifically requesting the latest value. 

First, I need to identify which view(s) can provide DVPI at the intersection of platform and investment class. The key requirements are:
- Aggregation at both platform and investment class level (not individual deals, not just platform, not just investment class).
- Must include a DVPI metric.
- Must allow filtering by platform ('FinTech') and investment class ('Direct Investment').

Reviewing the candidate views:
- ""Platform Investment Class View"" (PLATFORM_BY_INVESTMENT_CLASS_VW) is specifically for metrics aggregated at BOTH investment class and platform level. It contains columns for PLATFORM, INVESTMENT_CLASS, and DVPI, and is designed for exactly this type of query.
- ""Platform KPI View"" is only at the platform level, not broken down by investment class.
- ""MIC Investment Class View"" is only at the investment class level, not by platform.
- ""Business Unit Investment Class View"" is at business unit + investment class, not platform.
- ""Active Deal List"" and ""Investment KPI View"" are for deal-level or individual investment-level data, not for aggregated platform/investment class metrics.
- The other views (sector, region, asset class, country, etc.) do not match the required aggregation.

However, I must check if 'FinTech' is a valid value for PLATFORM in the ""Platform Investment Class View"". The allowed values for PLATFORM in this view are: [""Credit and Special Situations"", ""MIC Corporate"", ""MIC Legacy Assets"", ""Private Equity"", ""Real Assets"", ""UAE Investments""]. 'FinTech' is not listed as a valid platform value. 

Additionally, for INVESTMENT_CLASS, the allowed values are: [""Fund Portfolio"", ""Private Portfolio"", ""Public Portfolio""]. 'Direct Investment' is not listed as a valid investment class value in this view.

Given these constraints, there is no view that allows filtering by both 'FinTech' as a platform and 'Direct Investment' as an investment class, because neither is an allowed value in the relevant view.

Therefore, none of the available views can answer the question as stated.",1,PLATFORM_BY_INVESTMENT_CLASS_VW,<NO_VIEWS>
19,"For the 'BU-Direct' business unit, what is the YTD_5_RETURN in the 'Infrastructure' asset class (latest)?",[],['BUSINESS_UNIT_BY_ASSET_CLASS_VW'],BUSINESS_UNIT_BY_ASSET_CLASS_VW,"The user is asking for the ""YTD_5_RETURN"" (5-year year-to-date return) for the 'BU-Direct' business unit in the 'Infrastructure' asset class, and requests the latest value. 

First, let's clarify the requirements:
- ""BU-Direct"" refers to a business unit (likely ""ADIC-Direct Investments"" or similar, as per allowed values in the views).
- ""Infrastructure"" is an asset class.
- The metric is ""YTD_5_RETURN"".
- The user wants the latest data.

Now, let's match this to the available views:
- The question requires aggregation at BOTH business unit and asset class level.
- The only view that provides metrics at BOTH business unit and asset class level is ""Business Unit Asset Class View"" (BUSINESS_UNIT_BY_ASSET_CLASS_VW).
- This view has columns for BUSINESS_UNIT, ASSET_CLASS_NAME, and YTD_5_RETURN, and allows filtering by business unit and asset class.
- Other views either aggregate only by business unit, only by asset class, or do not allow the required breakdown.
- The ""Investment KPI View"" is for individual investments, not for aggregated business unit + asset class metrics.
- The business unit name in the question (""BU-Direct"") is not an exact match for the allowed values, but ""ADIC-Direct Investments"" is a close match and likely the intended value.

Therefore, the correct view to use is ""Business Unit Asset Class View"".",1,BUSINESS_UNIT_BY_ASSET_CLASS_VW,BUSINESS_UNIT_BY_ASSET_CLASS_VW
20,"Across investments, compute ITD_RETURN for region 'Europe' in asset class 'Infrastructure' (latest).",[],['INVESTMENT_KPI_VW'],<NO_VIEWS>,"The user is asking for the ITD_RETURN (inception-to-date return, i.e., IRR) for investments in the region 'Europe' and asset class 'Infrastructure', using the latest data. This requires a view that supports filtering by both region and asset class.

Let's analyze the candidate views:

1. **MIC Region View (MIC_BY_REGION_VW)**: Aggregates by region only, not by asset class. Cannot filter by both region and asset class simultaneously.
2. **MIC Asset Class View (MIC_BY_ASSET_CLASS_VW)**: Aggregates by asset class only, not by region. Cannot filter by both region and asset class simultaneously.
3. **Platform Region View, Platform Asset Class View, Business Unit Region View, Business Unit Asset Class View, etc.**: All aggregate by only one or two dimensions, but not both region and asset class together.
4. **Investment KPI View (INVESTMENT_KPI_VW)**: Contains deal-level/timestamped KPIs, including ITD_RETURN, REGION_OF_FUND, and ASSET_CLASS. This view allows filtering by both region ('Europe') and asset class ('Infrastructure') at the investment level, and can be aggregated as needed.
5. **Active Deal List**: Contains target/expected returns, not actual ITD_RETURN, and is for active deals, not historical performance.
6. **Consumption View**: Focuses on capital consumption, not returns.
7. **Other aggregated views (e.g., MIC_BY_COUNTRY_VW, PLATFORM_BY_REGION_VW, etc.)**: None allow simultaneous filtering by both region and asset class.

Therefore, the only view that allows filtering by both region and asset class and provides ITD_RETURN at the investment level is the **Investment KPI View (INVESTMENT_KPI_VW)**. According to its selector, it should be used when the question requires deal-level or historical investment performance and when aggregated views lack the required filter dimensions.",0,INVESTMENT_KPI_VW,INVESTMENT_KPI_VW
21,Provide the Group-level YTD_3_RETURN (latest).,,['MIC_KPI_VW'],MIC_KPI_VW,"The user is asking for the ""Group-level YTD_3_RETURN (latest)"". ""Group-level"" typically refers to the highest aggregation, i.e., the entire Mubadala group, not broken down by platform, business unit, sector, asset class, region, or country. The metric ""YTD_3_RETURN"" is the 3-year year-to-date internal rate of return, and ""latest"" means the most recent available data.

Reviewing the candidate views:
- ""MIC KPI View"" is specifically for TIMESTAMPED key performance indicators for investments aggregated across Mubadala WITHOUT mentioning specific platforms, business units, or geographical dimensions. It contains the ""YTD_3_RETURN"" column and is designed for group-level (i.e., Mubadala-wide) metrics.
- Other views (Platform KPI View, Business Unit KPI View, MIC_BY_SECTOR_VW, etc.) are for breakdowns by platform, business unit, sector, asset class, region, or country, which is not requested here.
- ""Investment KPI View"" is for individual investments, not group-level.
- ""Active Deal List"" is for deal-level, not group-level.
- ""Allocations View"" and ""Consumption View"" are about capital allocation/consumption, not returns.

Therefore, the only view that matches the requirement for group-level, latest YTD_3_RETURN is ""MIC KPI View"".",1,MIC_KPI_VW,MIC_KPI_VW
22,Provide the Group-level ACTUAL_MOIC (latest).,,['MIC_KPI_VW'],MIC_KPI_VW,"The user is asking for the ""Group-level ACTUAL_MOIC (latest)"". ""Group-level"" in this context refers to the overall Mubadala group, not a specific platform, business unit, sector, region, or investment class. The metric requested is ""ACTUAL_MOIC"", which is the Multiple on Invested Capital, and the user wants the latest value.

To select the correct view:
- The view must provide group-level (i.e., total Mubadala, not broken down by platform, business unit, sector, etc.) metrics.
- The view must include the ACTUAL_MOIC field.
- The view must provide the latest (timestamped) value.

Reviewing the candidate views:
- ""MIC KPI View"" (MIC_KPI_VW) is specifically described as containing ""TIMESTAMPED key performance indicators for investments aggregated across Mubadala WITHOUT mentioning specific platforms, business units, geographical dimensions"". It is for group-level metrics and includes ACTUAL_MOIC as a column.
- Other views (Platform KPI View, Business Unit KPI View, etc.) are for platform, business unit, or other breakdowns, which are not requested.
- ""Investment KPI View"" is for individual investments, not group-level.
- ""Active Deal List"" is for deal-level, not group-level.
- The other ""MIC BY ..."" views are for sector, asset class, region, country, or investment class breakdowns, which are not requested.

Therefore, the only correct view for group-level, latest ACTUAL_MOIC is ""MIC KPI View"" (MIC_KPI_VW).",1,MIC_KPI_VW,MIC_KPI_VW
23,What is the REFORECAST_RETURN for the 'FinTech' platform (latest)?,,['<NO_VIEWS>'],<NO_VIEWS>,"The user is asking for the ""REFORECAST_RETURN"" (forecasted IRR at exit) for the 'FinTech' platform, specifically requesting the latest value. First, I need to determine if 'FinTech' is a valid platform in the context of Mubadala's data model. According to the domain knowledge and the allowed values in the candidate views, the valid platforms are: Private Equity, Real Assets, ADIC, UAE Investments, and Credit and Special Situations. 'FinTech' is not listed as a valid platform; it is more likely a sector, industry, or thematic area, not a platform.

The views that provide REFORECAST_RETURN at the platform level are:
- Platform KPI View (aggregated at platform level)
- Platform Investment Class View (aggregated at both platform and investment class)
- Platform Sector View (aggregated at both platform and sector)
- Platform Region View (aggregated at both platform and region)
- Platform Country View (aggregated at both platform and country)

However, none of these views list 'FinTech' as an allowed value for PLATFORM. Instead, 'FinTech' might be represented as a sector, industry, or business unit, but not as a platform.

Since the question asks for a platform that does not exist in the data model, and none of the views support 'FinTech' as a platform, there is no relevant view to answer this question directly.",1,PLATFORM_KPI_VW,<NO_VIEWS>
24,What is the TARGET_RETURN for the 'BU-Direct' business unit (latest)?,,['<NO_VIEWS>'],<NO_VIEWS>,"The user is asking for the ""TARGET_RETURN"" for the 'BU-Direct' business unit, specifically requesting the latest value. The term ""TARGET_RETURN"" is a key performance indicator (KPI) and is typically an aggregate metric at the business unit level, not at the individual deal level. The question does not mention a specific deal, platform, sector, asset class, or region, but is focused on the business unit as a whole.

Reviewing the candidate views:
- ""Business Unit KPI View"" (BUSINESS_UNIT_KPI_VW) is designed for aggregated KPIs at the business unit level and includes columns for various return metrics (ITD_RETURN, YTD_RETURN, etc.), but does not have a column named ""TARGET_RETURN"". It is the correct view for business unit-level KPIs.
- ""Investment KPI View"" (INVESTMENT_KPI_VW) contains ""TARGET_RETURN"" but is for individual investments/deals, not for business unit aggregates.
- ""Active Deal List"" is for current/active deals and their target metrics, not for business unit aggregates.
- Other views (Platform KPI, MIC KPI, sector, region, asset class, etc.) are not relevant because the question is not about platforms, sectors, regions, or asset classes.

However, the business unit name 'BU-Direct' does not appear in the allowed values for BUSINESS_UNIT in any of the business unit-level views. The closest matches are ""ADIC-Direct Investments"" and ""Direct Budget Adjustment - Return (BU)"", but not ""BU-Direct"". If ""BU-Direct"" is a user shorthand for ""ADIC-Direct Investments"" or another business unit, clarification would be needed. If not, and if ""BU-Direct"" is not present in the allowed values, then no view can directly answer the question.

Given the above, the correct view for business unit-level target returns would be ""Business Unit KPI View"" if the business unit existed in the allowed values. Since ""BU-Direct"" is not present, there is no relevant view.",1,BUSINESS_UNIT_KPI_VW,BUSINESS_UNIT_KPI_VW
25,List the top 10 investments in the USA by YTD_RETURN (latest).,,['INVESTMENT_KPI_VW'],INVESTMENT_KPI_VW,"The user is asking for a list of the top 10 investments in the USA by YTD_RETURN (latest). This requires:
- Investment-level (not aggregate) data, as the user wants a list of individual investments, not an aggregate or summary by country, platform, or class.
- The ability to filter by country (USA), which is ""United States of America"" or its ISO codes.
- The ability to sort and select by YTD_RETURN (year-to-date return), and to get the latest data for each investment.

Reviewing the candidate views:
- ""Investment KPI View"" (INVESTMENT_KPI_VW) contains timestamped KPIs for each investment, including YTD_RETURN, country (with ISO codes for filtering), and allows for selection of the latest data per investment. It is specifically designed for questions about the performance of individual investments, and its selector says to use it for historical deal/investment-level queries, especially when filtering by geography and return metrics.
- ""Active Deal List"" (ACTIVE_DEAL_LIST_VW) contains target/expected returns and deal pipeline data, but not actual YTD_RETURN or realized performance. It is not suitable for listing top investments by actual YTD_RETURN.
- All other views are for aggregated data (by country, platform, sector, etc.) and do not provide investment-level granularity.

Therefore, the only view that meets all requirements (investment-level, filterable by country, sortable by YTD_RETURN, and provides latest data) is ""Investment KPI View"" (INVESTMENT_KPI_VW).",1,INVESTMENT_KPI_VW,INVESTMENT_KPI_VW
26,Which region had the highest YTD_RETURN last year?,,['MIC_BY_REGION_VW'],MIC_BY_REGION_VW,"The user is asking: ""Which region had the highest YTD_RETURN last year?"" This requires:
- Aggregated data at the region level (not country, sector, business unit, or platform).
- The metric of interest is YTD_RETURN (Year-To-Date Return), specifically for the previous year (i.e., last year).
- The answer should identify the region with the highest YTD_RETURN.

From the candidate views:
- MIC Region View (MIC_BY_REGION_VW) is specifically designed for ""aggregated metrics at the region level only for all of Mubadala's investments."" It contains the columns REGION, YEAR, and YTD_RETURN, which are exactly what is needed to answer the question.
- Platform Region View and Business Unit Region View both aggregate by region but also by platform or business unit, which is not requested by the user.
- Investment KPI View and Active Deal List are for individual investments/deals, not for region-level aggregation.
- All other views either aggregate by other dimensions (sector, asset class, investment class, country, business unit, platform) or require breakdowns not requested here.

Therefore, the MIC Region View is the most direct and appropriate source for this query.",1,MIC_BY_REGION_VW,MIC_BY_REGION_VW
27,Which GICS sector in Asia had the lowest ITD_RETURN last year?,,['BUSINESS_UNIT_BY_SECTOR_VW'],"MIC_BY_REGION_VW, MIC_BY_SECTOR_VW","The question asks: ""Which GICS sector in Asia had the lowest ITD_RETURN last year?"" 

Key requirements:
- ""GICS sector"": We need a view that aggregates by GICS sector (Level 1 Global Industry Classification Standard).
- ""in Asia"": We need to filter by the Asia business unit or region.
- ""lowest ITD_RETURN"": We need a view that provides ITD_RETURN (inception-to-date return) at the sector level, and allows us to filter for Asia.
- ""last year"": We need a view with timestamped/yearly data, so we can select the most recent year.

Reviewing the candidate views:
- MIC Sector View: Aggregates by sector, but does not allow filtering by region or business unit (Asia).
- Business Unit Sector View: Aggregates by BOTH sector and business unit. The BUSINESS_UNIT column includes ""Asia"" as an allowed value, and GICS_SECTOR is present. ITD_RETURN is available. This view allows us to find the ITD_RETURN for each GICS sector within the Asia business unit for a given year.
- Investment KPI View: Has deal-level data, but the question is about sector-level aggregation in Asia, not individual deals.
- MIC Region View, Platform Region View, Business Unit Region View: These aggregate by region, not by sector.
- Platform Sector View: Aggregates by sector and platform, but not by business unit or region.
- Business Unit KPI View: Aggregates by business unit, but not by sector.
- Other views (Active Deal List, Allocations, Consumption, etc.): Not relevant, as they do not provide sector-level aggregation or the required filters.

Therefore, the only view that allows us to answer ""Which GICS sector in Asia had the lowest ITD_RETURN last year?"" is the Business Unit Sector View, as it provides ITD_RETURN by both GICS sector and business unit (Asia).",0,INVESTMENT_KPI_VW,INVESTMENT_KPI_VW
28,What countries contributed the most to Europe's YTD_RETURN last year? Return the top 3.,,['MIC_BY_COUNTRY_VW'],MIC_BY_COUNTRY_VW,"The user is asking for the top 3 countries that contributed the most to Europe's YTD_RETURN last year. This requires:
- Aggregation at the country level (to rank countries).
- Filtering for countries within Europe.
- Using YTD_RETURN for the previous year (so, filter by YEAR = last year and RECORD_TYPE = 'YTD').
- The metric of interest is YTD_RETURN.

Among the candidate views:
- MIC_BY_COUNTRY_VW: Aggregates at the country level and provides YTD_RETURN, YEAR, and country fields. It is designed for country-level breakdowns and is the most direct fit for this question.
- PLATFORM_BY_COUNTRY_VW and BUSINESS_UNIT_BY_COUNTRY_VW: These provide country-level data but also require platform or business unit breakdowns, which the question does not request.
- INVESTMENT_KPI_VW: Provides deal-level data, but the question is about aggregated country-level results, not individual investments.
- MIC_BY_REGION_VW: Aggregates at the region level, but the user wants a country-level breakdown within Europe, not just the region as a whole.

Therefore, the best view is MIC_BY_COUNTRY_VW, as it allows us to:
- Filter for countries in Europe (by cross-referencing the COUNTRY field with a list of European countries).
- Aggregate and rank by YTD_RETURN for last year.
- Return the top 3 countries.

No other view is as direct or appropriate for this query.",1,INVESTMENT_KPI_VW,INVESTMENT_KPI_VW
29,"For Group 'Direct Investment' investment class, provide TARGET_RETURN and ACTUAL_MOIC (latest).",,['BUSINESS_UNIT_BY_INVESTMENT_CLASS_VW'],<NO_VIEWS>,"The user is asking for TARGET_RETURN and ACTUAL_MOIC (latest) for the ""Direct Investment"" investment class, specifically for the ""Group"" level. However, ""Direct Investment"" is not a standard investment class in the provided views; instead, it is likely a deployment model or business unit (e.g., ""ADIC-Direct Investments"" as a business unit). The question is ambiguous, but the intent is to get performance metrics (TARGET_RETURN and ACTUAL_MOIC) for direct investments at a group/aggregate level.

Let's break down the requirements:
- The user wants aggregate metrics (not deal-level), so views with individual deal data (like ""Active Deal List"" or ""Investment KPI View"") are not appropriate unless no aggregate view can provide the required filter.
- The user is not asking for a specific platform, sector, asset class, or region, but for ""Group 'Direct Investment' investment class."" This suggests a need for a view that aggregates by investment class, possibly at the business unit or group level.
- The only views that aggregate by investment class are:
  - MIC Investment Class View (MIC_BY_INVESTMENT_CLASS_VW): Aggregates at investment class for all Mubadala, but its allowed values for INVESTMENT_CLASS are ""Fund Portfolio"", ""Private Portfolio"", ""Public Portfolio""—not ""Direct Investment"".
  - Platform Investment Class View (PLATFORM_BY_INVESTMENT_CLASS_VW): Aggregates by both platform and investment class, but again, investment class values are ""Fund Portfolio"", ""Private Portfolio"", ""Public Portfolio"".
  - Business Unit Investment Class View (BUSINESS_UNIT_BY_INVESTMENT_CLASS_VW): Aggregates by business unit and investment class, with allowed values including ""ADIC-Direct Investments"" for BUSINESS_UNIT and ""Fund Portfolio"", ""Private Portfolio"", ""Public Portfolio"" for INVESTMENT_CLASS.

Given the above, the closest match is ""Business Unit Investment Class View"", where ""ADIC-Direct Investments"" is a business unit, and the investment class can be filtered as needed. This view provides aggregate metrics (including ITD_RETURN, YTD_RETURN, ACTUAL_MOIC, etc.) at the intersection of business unit and investment class.

Therefore, the best view to select is BUSINESS_UNIT_BY_INVESTMENT_CLASS_VW, as it allows filtering by business unit (""ADIC-Direct Investments"") and investment class, and provides the required metrics.

If the user meant ""Direct Investment"" as a deployment model, the only view that supports filtering by deployment model is ""Investment KPI View"" at the deal level, but since the question is for group/aggregate, the business unit aggregate view is preferred.",0,MIC_BY_INVESTMENT_CLASS_VW,MIC_BY_INVESTMENT_CLASS_VW
